vot_proCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_forCodigo,ordenPartidos,votVotosFormula,votPorcenVotosFormula
"02","031","999","0132",5,799,1.75999999e+00
"02","031","999","0133",6,312,6.89999998e-01
"02","031","999","0135",2,12675,2.79400005e+01
"02","031","999","0137",4,1279,2.81999993e+00
"02","031","999","0138",3,12520,2.76000004e+01
"02","032","999","0131",2,4377,3.69300003e+01
"02","032","999","0132",4,138,1.15999997e+00
"02","032","999","0133",6,79,6.70000017e-01
"02","032","999","0135",1,5436,4.58699989e+01
"02","032","999","0137",5,104,8.79999995e-01
"02","032","999","0138",3,1717,1.44899998e+01
"02","033","999","0131",2,4840,2.72700005e+01
"02","033","999","0132",4,316,1.77999997e+00
"02","033","999","0133",6,87,4.90000010e-01
"02","033","999","0135",1,8067,4.54500008e+01
"02","033","999","0137",5,259,1.46000004e+00
"02","033","999","0138",3,4181,2.35499992e+01
"02","034","999","0131",1,15845,4.06500015e+01
"02","034","999","0132",5,1174,3.00999999e+00
"02","034","999","0133",6,376,9.59999979e-01
"02","034","999","0135",2,10359,2.65799999e+01
"02","034","999","0137",4,2332,5.98000002e+00
"02","034","999","0138",3,8893,2.28099995e+01
"02","035","999","0131",1,47294,3.73600006e+01
"02","035","999","0132",5,3423,2.70000005e+00
"02","035","999","0133",6,1633,1.28999996e+00
"02","035","999","0135",2,39439,3.11599998e+01
"02","035","999","0137",4,5109,4.03999996e+00
"02","035","999","0138",3,29687,2.34500008e+01
"02","036","999","0131",1,70068,4.21399994e+01
"02","036","999","0132",5,3952,2.38000011e+00
"02","036","999","0133",6,1683,1.00999999e+00
"02","036","999","0135",2,47836,2.87700005e+01
"02","036","999","0137",4,6879,4.13999987e+00
"02","036","999","0138",3,35865,2.15699997e+01
"02","037","999","0131",2,6239,3.44599991e+01
"02","037","999","0132",4,447,2.47000003e+00
"02","037","999","0133",6,204,1.13000000e+00
"02","037","999","0135",1,6660,3.67799988e+01
"02","037","999","0137",5,395,2.18000007e+00
"02","037","999","0138",3,4161,2.29799995e+01
"02","038","999","0131",1,109286,5.05800018e+01
"02","038","999","0132",5,4233,1.96000004e+00
"02","038","999","0133",6,2025,9.39999998e-01
"02","038","999","0135",3,41257,1.90900002e+01
"02","038","999","0137",4,8359,3.86999989e+00
"02","038","999","0138",2,50908,2.35599995e+01
"02","039","999","0131",2,7467,2.99400005e+01
"02","039","999","0132",4,798,3.20000005e+00
"02","039","999","0133",6,218,8.70000005e-01
"02","039","999","0135",1,8429,3.37999992e+01
"02","039","999","0137",5,647,2.58999991e+00
"02","039","999","0138",3,7380,2.95900002e+01
"02","040","999","0131",2,2223,3.44000015e+01
"02","040","999","0132",5,36,5.60000002e-01
"02","040","999","0133",6,31,4.79999989e-01
"02","040","999","0135",1,3205,4.95999985e+01
"02","040","999","0137",4,62,9.59999979e-01
"02","040","999","0138",3,905,1.40000000e+01
"02","041","999","0131",2,4111,3.45699997e+01
"02","041","999","0132",5,144,1.21000004e+00
"02","041","999","0133",4,145,1.22000003e+00
"02","041","999","0135",1,5907,4.96800003e+01
"02","041","999","0137",6,137,1.14999998e+00
"02","041","999","0138",3,1447,1.21700001e+01
