sub_votproCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_codFormula,vot_parCodigo,votVotosPartido,votPorcenVotos
"02","048","999","0145","0145",3641,4.55299988e+01
"02","049","999","0131","0131",2753,3.89000015e+01
"02","049","999","0132","0132",141,1.99000001e+00
"02","049","999","0137","0137",177,2.50000000e+00
"02","049","999","0138","0138",1100,1.55400000e+01
"02","049","999","0145","0145",2906,4.10600014e+01
"02","050","999","0131","0131",110301,2.97000008e+01
"02","050","999","0132","0132",9046,2.44000006e+00
"02","050","999","0137","0137",12109,3.25999999e+00
"02","050","999","0138","0138",51025,1.37399998e+01
"02","050","999","0145","0145",188957,5.08699989e+01
"02","051","999","0131","0131",17187,3.62700005e+01
"02","051","999","0132","0132",895,1.88999999e+00
"02","051","999","0137","0137",1210,2.54999995e+00
"02","051","999","0138","0138",10343,2.18299999e+01
"02","051","999","0145","0145",17745,3.74500008e+01
"02","052","999","0131","0131",77197,3.23899994e+01
"02","052","999","0132","0132",5855,2.46000004e+00
"02","052","999","0137","0137",10015,4.19999981e+00
"02","052","999","0138","0138",49785,2.08899994e+01
"02","052","999","0145","0145",95478,4.00600014e+01
"02","053","999","0131","0131",57035,3.49000015e+01
"02","053","999","0132","0132",3451,2.10999990e+00
"02","053","999","0137","0137",6519,3.99000001e+00
"02","053","999","0138","0138",37575,2.29899998e+01
"02","053","999","0145","0145",58829,3.60000000e+01
"02","054","999","0131","0131",3677,3.43499985e+01
"02","054","999","0132","0132",88,8.19999993e-01
"02","054","999","0137","0137",111,1.03999996e+00
"02","054","999","0138","0138",1699,1.58699999e+01
"02","054","999","0145","0145",5128,4.79099998e+01
"02","055","999","0131","0131",2981,1.67199993e+01
"02","055","999","0132","0132",183,1.02999997e+00
"02","055","999","0137","0137",214,1.20000005e+00
"02","055","999","0138","0138",6341,3.55699997e+01
"02","055","999","0145","0145",8106,4.54799995e+01
"02","056","999","0131","0131",3331,4.48499985e+01
"02","056","999","0132","0132",114,1.52999997e+00
"02","056","999","0137","0137",110,1.48000002e+00
"02","056","999","0138","0138",973,1.31000004e+01
"02","056","999","0145","0145",2899,3.90299988e+01
"02","057","999","0131","0131",2834,4.05600014e+01
"02","057","999","0132","0132",47,6.70000017e-01
"02","057","999","0137","0137",67,9.59999979e-01
"02","057","999","0138","0138",655,9.36999989e+00
"02","057","999","0145","0145",3384,4.84300003e+01
"02","058","999","0131","0131",2004,3.80800018e+01
"02","058","999","0132","0132",25,4.79999989e-01
"02","058","999","0137","0137",57,1.08000004e+00
"02","058","999","0138","0138",469,8.90999985e+00
"02","058","999","0145","0145",2707,5.14399986e+01
"02","059","999","0131","0131",4619,3.76899986e+01
"02","059","999","0132","0132",256,2.08999991e+00
"02","059","999","0137","0137",273,2.23000002e+00
"02","059","999","0138","0138",1918,1.56499996e+01
"02","059","999","0145","0145",5189,4.23400002e+01
"02","060","999","0131","0131",15240,2.72399998e+01
"02","060","999","0132","0132",1063,1.89999998e+00
"02","060","999","0137","0137",1234,2.21000004e+00
"02","060","999","0138","0138",12418,2.21900005e+01
"02","060","999","0145","0145",25995,4.64599991e+01
"02","061","999","0131","0131",331642,4.66599998e+01
"02","061","999","0132","0132",15735,2.21000004e+00
"02","061","999","0137","0137",29880,4.19999981e+00
"02","061","999","0138","0138",135300,1.90400009e+01
"02","061","999","0145","0145",198166,2.78799992e+01
"02","062","999","0131","0131",95815,3.43400002e+01
"02","062","999","0132","0132",6653,2.38000011e+00
"02","062","999","0137","0137",11901,4.26000023e+00
"02","062","999","0138","0138",51614,1.85000000e+01
"02","062","999","0145","0145",113067,4.05200005e+01
"02","063","999","0131","0131",114340,2.88799992e+01
"02","063","999","0132","0132",13800,3.49000001e+00
"02","063","999","0137","0137",21991,5.55999994e+00
"02","063","999","0138","0138",61614,1.55600004e+01
"02","063","999","0145","0145",184129,4.65099983e+01
"02","064","999","0131","0131",3175,4.50200005e+01
"02","064","999","0132","0132",79,1.12000000e+00
"02","064","999","0137","0137",105,1.49000001e+00
"02","064","999","0138","0138",478,6.78000021e+00
"02","064","999","0145","0145",3216,4.55999985e+01
"02","065","999","0131","0131",4701,3.19099998e+01
"02","065","999","0132","0132",618,4.19999981e+00
"02","065","999","0137","0137",430,2.92000008e+00
"02","065","999","0138","0138",1860,1.26300001e+01
"02","065","999","0145","0145",7122,4.83499985e+01
"02","066","999","0131","0131",4072,3.74099998e+01
"02","066","999","0132","0132",119,1.09000003e+00
"02","066","999","0137","0137",207,1.89999998e+00
"02","066","999","0138","0138",1734,1.59300003e+01
"02","066","999","0145","0145",4752,4.36599998e+01
"02","067","999","0131","0131",9403,3.37999992e+01
"02","067","999","0132","0132",305,1.10000002e+00
"02","067","999","0137","0137",393,1.40999997e+00
"02","067","999","0138","0138",2992,1.07600002e+01
"02","067","999","0145","0145",14725,5.29300003e+01
"02","068","999","0131","0131",3596,3.26300011e+01
"02","068","999","0132","0132",74,6.70000017e-01
"02","068","999","0137","0137",134,1.22000003e+00
"02","068","999","0138","0138",1087,9.85999966e+00
"02","068","999","0145","0145",6131,5.56300011e+01
"02","069","999","0131","0131",6774,3.03700008e+01
"02","069","999","0132","0132",341,1.52999997e+00
"02","069","999","0137","0137",479,2.15000010e+00
"02","069","999","0138","0138",3401,1.52500000e+01
"02","069","999","0145","0145",11313,5.07099991e+01
"02","070","999","0131","0131",151661,4.22400017e+01
"02","070","999","0132","0132",9625,2.68000007e+00
"02","070","999","0137","0137",15636,4.36000013e+00
"02","070","999","0138","0138",59672,1.66200008e+01
"02","070","999","0145","0145",122413,3.40999985e+01
"02","071","999","0131","0131",16134,2.67900009e+01
"02","071","999","0132","0132",1523,2.52999997e+00
"02","071","999","0137","0137",1655,2.75000000e+00
"02","071","999","0138","0138",11325,1.87999992e+01
"02","071","999","0145","0145",29594,4.91300011e+01
"02","072","999","0131","0131",2486,2.40900002e+01
"02","072","999","0132","0132",114,1.10000002e+00
"02","072","999","0137","0137",223,2.16000009e+00
"02","072","999","0138","0138",2682,2.59899998e+01
"02","072","999","0145","0145",4816,4.66599998e+01
"02","073","999","0131","0131",1763,2.43299999e+01
"02","073","999","0132","0132",80,1.10000002e+00
"02","073","999","0137","0137",134,1.85000002e+00
"02","073","999","0138","0138",935,1.29099998e+01
"02","073","999","0145","0145",4333,5.98100014e+01
"02","074","999","0131","0131",6354,3.89000015e+01
"02","074","999","0132","0132",232,1.41999996e+00
"02","074","999","0137","0137",282,1.73000002e+00
"02","074","999","0138","0138",1789,1.09499998e+01
"02","074","999","0145","0145",7678,4.70000000e+01
"02","075","999","0131","0131",12931,4.29599991e+01
"02","075","999","0132","0132",513,1.70000005e+00
"02","075","999","0137","0137",949,3.15000010e+00
