sub_proCodigoProvincia,sub_depCodigoDepartamento,sub_munCodigoMunicipio,sub_mesCodigoCircuito,sub_mesCodigoMesa,sub_mesCodSexo,sub_votparCodigo,sub_parCodigo,ordenPartidos,subVotosPartido
"20","001","003","0003 ","0061","X","0702","3052",2,6
"20","001","003","0003 ","0061","X","0702","3116",3,42
"20","001","003","0003 ","0061","X","0702","3119",4,24
"20","001","003","0003 ","0061","X","0702","3125",5,1
"20","001","003","0003 ","0061","X","0702","3136",6,6
"20","001","003","0003 ","0062","X","0701","3015",1,6
"20","001","003","0003 ","0062","X","0701","3016",2,32
"20","001","003","0003 ","0062","X","0701","3036",3,35
"20","001","003","0003 ","0062","X","0701","3100",4,4
"20","001","003","0003 ","0062","X","0701","3113",5,5
"20","001","003","0003 ","0062","X","0701","3139",6,3
"20","001","003","0003 ","0062","X","0702","3013",1,0
"20","001","003","0003 ","0062","X","0702","3052",2,2
"20","001","003","0003 ","0062","X","0702","3116",3,30
"20","001","003","0003 ","0062","X","0702","3119",4,28
"20","001","003","0003 ","0062","X","0702","3125",5,5
"20","001","003","0003 ","0062","X","0702","3136",6,7
"20","001","003","0003 ","0063","X","0701","3015",1,6
"20","001","003","0003 ","0063","X","0701","3016",2,0
"20","001","003","0003 ","0063","X","0701","3036",3,49
"20","001","003","0003 ","0063","X","0701","3100",4,0
"20","001","003","0003 ","0063","X","0701","3113",5,0
"20","001","003","0003 ","0063","X","0701","3139",6,14
"20","001","003","0003 ","0063","X","0702","3013",1,4
"20","001","003","0003 ","0063","X","0702","3052",2,4
"20","001","003","0003 ","0063","X","0702","3116",3,48
"20","001","003","0003 ","0063","X","0702","3119",4,18
"20","001","003","0003 ","0063","X","0702","3125",5,4
"20","001","003","0003 ","0063","X","0702","3136",6,8
"20","001","003","0003 ","0064","X","0701","3015",1,9
"20","001","003","0003 ","0064","X","0701","3016",2,45
"20","001","003","0003 ","0064","X","0701","3036",3,16
"20","001","003","0003 ","0064","X","0701","3100",4,2
"20","001","003","0003 ","0064","X","0701","3113",5,9
"20","001","003","0003 ","0064","X","0701","3139",6,5
"20","001","003","0003 ","0064","X","0702","3013",1,6
"20","001","003","0003 ","0064","X","0702","3052",2,6
"20","001","003","0003 ","0064","X","0702","3116",3,44
"20","001","003","0003 ","0064","X","0702","3119",4,18
"20","001","003","0003 ","0064","X","0702","3125",5,0
"20","001","003","0003 ","0064","X","0702","3136",6,11
"20","001","003","0003 ","0065","X","0701","3015",1,1
"20","001","003","0003 ","0065","X","0701","3016",2,46
"20","001","003","0003 ","0065","X","0701","3036",3,16
"20","001","003","0003 ","0065","X","0701","3100",4,3
"20","001","003","0003 ","0065","X","0701","3113",5,9
"20","001","003","0003 ","0065","X","0701","3139",6,13
"20","001","003","0003 ","0065","X","0702","3013",1,2
"20","001","003","0003 ","0065","X","0702","3052",2,4
"20","001","003","0003 ","0065","X","0702","3116",3,43
"20","001","003","0003 ","0065","X","0702","3119",4,18
"20","001","003","0003 ","0065","X","0702","3125",5,1
"20","001","003","0003 ","0065","X","0702","3136",6,9
"20","001","003","0003 ","0066","X","0701","3015",1,9
"20","001","003","0003 ","0066","X","0701","3016",2,44
"20","001","003","0003 ","0066","X","0701","3036",3,21
"20","001","003","0003 ","0066","X","0701","3100",4,1
"20","001","003","0003 ","0066","X","0701","3113",5,10
"20","001","003","0003 ","0066","X","0701","3139",6,5
"20","001","003","0003 ","0066","X","0702","3013",1,0
"20","001","003","0003 ","0066","X","0702","3052",2,7
"20","001","003","0003 ","0066","X","0702","3116",3,0
"20","001","003","0003 ","0066","X","0702","3119",4,12
"20","001","003","0003 ","0066","X","0702","3125",5,4
"20","001","003","0003 ","0066","X","0702","3136",6,14
"20","001","003","0003 ","0067","X","0701","3015",1,17
"20","001","003","0003 ","0067","X","0701","3016",2,40
"20","001","003","0003 ","0067","X","0701","3036",3,15
"20","001","003","0003 ","0067","X","0701","3100",4,5
"20","001","003","0003 ","0067","X","0701","3113",5,4
"20","001","003","0003 ","0067","X","0701","3139",6,6
"20","001","003","0003 ","0067","X","0702","3013",1,7
"20","001","003","0003 ","0067","X","0702","3052",2,8
"20","001","003","0003 ","0067","X","0702","3116",3,38
"20","001","003","0003 ","0067","X","0702","3119",4,10
"20","001","003","0003 ","0067","X","0702","3125",5,11
"20","001","003","0003 ","0067","X","0702","3136",6,13
"20","001","003","0003 ","0068","X","0701","3015",1,7
"20","001","003","0003 ","0068","X","0701","3016",2,52
"20","001","003","0003 ","0068","X","0701","3036",3,26
"20","001","003","0003 ","0068","X","0701","3100",4,1
"20","001","003","0003 ","0068","X","0701","3113",5,13
"20","001","003","0003 ","0068","X","0701","3139",6,0
"20","001","003","0003 ","0068","X","0702","3013",1,2
"20","001","003","0003 ","0068","X","0702","3052",2,6
"20","001","003","0003 ","0068","X","0702","3116",3,50
"20","001","003","0003 ","0068","X","0702","3119",4,17
"20","001","003","0003 ","0068","X","0702","3125",5,4
"20","001","003","0003 ","0068","X","0702","3136",6,2
"20","001","003","0003 ","0069","X","0701","3015",1,6
"20","001","003","0003 ","0069","X","0701","3016",2,48
"20","001","003","0003 ","0069","X","0701","3036",3,20
"20","001","003","0003 ","0069","X","0701","3100",4,4
"20","001","003","0003 ","0069","X","0701","3113",5,16
"20","001","003","0003 ","0069","X","0701","3139",6,7
"20","001","003","0003 ","0069","X","0702","3013",1,5
"20","001","003","0003 ","0069","X","0702","3052",2,6
"20","001","003","0003 ","0069","X","0702","3116",3,37
"20","001","003","0003 ","0069","X","0702","3119",4,7
"20","001","003","0003 ","0069","X","0702","3125",5,0
"20","001","003","0003 ","0069","X","0702","3136",6,4
"20","001","003","0003 ","0070","X","0701","3015",1,5
