sub_proCodigoProvincia,sub_depCodigoDepartamento,sub_munCodigoMunicipio,sub_mesCodigoCircuito,sub_mesCodigoMesa,sub_mesCodSexo,sub_votparCodigo,sub_parCodigo,ordenPartidos,subVotosPartido
"20","001","003","0003 ","0055","X","0701","3006",1,63
"20","001","003","0003 ","0055","X","0701","3023",2,1
"20","001","003","0003 ","0055","X","0701","3038",3,9
"20","001","003","0003 ","0055","X","0701","3043",4,3
"20","001","003","0003 ","0055","X","0701","3051",5,6
"20","001","003","0003 ","0055","X","0701","3088",6,9
"20","001","003","0003 ","0055","X","0701","3138",7,3
"20","001","003","0003 ","0055","X","0702","3097",1,1
"20","001","003","0003 ","0055","X","0702","3118",2,12
"20","001","003","0003 ","0055","X","0702","3121",3,53
"20","001","003","0003 ","0056","X","0701","3006",1,57
"20","001","003","0003 ","0056","X","0701","3023",2,8
"20","001","003","0003 ","0056","X","0701","3038",3,17
"20","001","003","0003 ","0056","X","0701","3043",4,1
"20","001","003","0003 ","0056","X","0701","3051",5,3
"20","001","003","0003 ","0056","X","0701","3088",6,3
"20","001","003","0003 ","0056","X","0701","3138",7,9
"20","001","003","0003 ","0056","X","0702","3097",1,0
"20","001","003","0003 ","0056","X","0702","3118",2,19
"20","001","003","0003 ","0056","X","0702","3121",3,67
"20","001","003","0003 ","0057","X","0701","3006",1,42
"20","001","003","0003 ","0057","X","0701","3023",2,8
"20","001","003","0003 ","0057","X","0701","3038",3,11
"20","001","003","0003 ","0057","X","0701","3043",4,0
"20","001","003","0003 ","0057","X","0701","3051",5,8
"20","001","003","0003 ","0057","X","0701","3088",6,5
"20","001","003","0003 ","0057","X","0701","3138",7,2
"20","001","003","0003 ","0057","X","0702","3097",1,4
"20","001","003","0003 ","0057","X","0702","3118",2,13
"20","001","003","0003 ","0057","X","0702","3121",3,69
"20","001","003","0003 ","0058","X","0701","3006",1,54
"20","001","003","0003 ","0058","X","0701","3023",2,8
"20","001","003","0003 ","0058","X","0701","3038",3,16
"20","001","003","0003 ","0058","X","0701","3043",4,1
"20","001","003","0003 ","0058","X","0701","3051",5,1
"20","001","003","0003 ","0058","X","0701","3088",6,7
"20","001","003","0003 ","0058","X","0701","3138",7,9
"20","001","003","0003 ","0058","X","0702","3097",1,2
"20","001","003","0003 ","0058","X","0702","3118",2,13
"20","001","003","0003 ","0058","X","0702","3121",3,52
"20","001","003","0003 ","0059","X","0701","3006",1,48
"20","001","003","0003 ","0059","X","0701","3023",2,3
"20","001","003","0003 ","0059","X","0701","3038",3,11
"20","001","003","0003 ","0059","X","0701","3043",4,1
"20","001","003","0003 ","0059","X","0701","3051",5,1
"20","001","003","0003 ","0059","X","0701","3088",6,2
"20","001","003","0003 ","0059","X","0701","3138",7,9
"20","001","003","0003 ","0059","X","0702","3097",1,1
"20","001","003","0003 ","0059","X","0702","3118",2,10
"20","001","003","0003 ","0059","X","0702","3121",3,68
"20","001","003","0003 ","0060","X","0701","3006",1,72
"20","001","003","0003 ","0060","X","0701","3023",2,3
"20","001","003","0003 ","0060","X","0701","3038",3,6
"20","001","003","0003 ","0060","X","0701","3043",4,1
"20","001","003","0003 ","0060","X","0701","3051",5,3
"20","001","003","0003 ","0060","X","0701","3088",6,2
"20","001","003","0003 ","0060","X","0701","3138",7,3
"20","001","003","0003 ","0060","X","0702","3097",1,0
"20","001","003","0003 ","0060","X","0702","3118",2,10
"20","001","003","0003 ","0060","X","0702","3121",3,56
"20","001","003","0003 ","0061","X","0701","3006",1,46
"20","001","003","0003 ","0061","X","0701","3023",2,6
"20","001","003","0003 ","0061","X","0701","3038",3,9
"20","001","003","0003 ","0061","X","0701","3043",4,1
"20","001","003","0003 ","0061","X","0701","3051",5,2
"20","001","003","0003 ","0061","X","0701","3088",6,5
"20","001","003","0003 ","0061","X","0701","3138",7,7
"20","001","003","0003 ","0061","X","0702","3097",1,4
"20","001","003","0003 ","0061","X","0702","3118",2,13
"20","001","003","0003 ","0061","X","0702","3121",3,69
"20","001","003","0003 ","0062","X","0701","3006",1,50
"20","001","003","0003 ","0062","X","0701","3023",2,5
"20","001","003","0003 ","0062","X","0701","3038",3,18
"20","001","003","0003 ","0062","X","0701","3043",4,2
"20","001","003","0003 ","0062","X","0701","3051",5,5
"20","001","003","0003 ","0062","X","0701","3088",6,2
"20","001","003","0003 ","0062","X","0701","3138",7,4
"20","001","003","0003 ","0062","X","0702","3097",1,2
"20","001","003","0003 ","0062","X","0702","3118",2,4
"20","001","003","0003 ","0062","X","0702","3121",3,55
"20","001","003","0003 ","0063","X","0701","3006",1,53
