pre_proCodigoProvincia,pre_depCodigoDepartamento,pre_munCodigoMunicipio,preMesasTotales,preMesasEscrutadas,prePorcenMesasEscrutadas,preVotosValidos,prePorcenVotosValidos,preVotosPositivos,prePorcenVotosPositivos,preVotosEnBlanco,prePorcenVotosEnBlanco,preVotosNulos,prePorcenVotosNulos,preVotosRecurridos,prePorcenVotosRecurridos,preElectores,preTotalVotantes,prePTotalVotantes,preParticipEscrutado,prePorcParticipEscrutado,preParticipacion,preCandidatos,OT_Codigo,OT_Votos,OT_PVotos
"02","084","999",281,279,9.92900009e+01,74779,9.93199997e+01,67623,8.98099976e+01,7156,9.50000000e+00,463,6.10000014e-01,50,7.99999982e-02,93333,75292,8.06699982e+01,,8.09899979e+01,,,"9997",0,0.00000000e+00
"02","085","999",101,100,9.90100021e+01,27259,9.92399979e+01,24489,8.91600037e+01,2770,1.00799999e+01,197,7.20000029e-01,11,3.99999991e-02,34033,27467,8.07099991e+01,,8.15400009e+01,,,"9997",0,0.00000000e+00
"02","086","999",16,16,1.00000000e+02,4322,9.98399963e+01,3937,9.09400024e+01,385,8.89000034e+00,5,1.19999997e-01,2,5.00000007e-02,5149,4329,8.40699997e+01,,8.40699997e+01,,,"9997",0,0.00000000e+00
"02","087","999",264,259,9.81100006e+01,69436,9.92799988e+01,64177,9.17600021e+01,5259,7.51999998e+00,457,6.49999976e-01,49,7.00000003e-02,87892,69942,7.95800018e+01,,8.09899979e+01,,,"9997",0,0.00000000e+00
"02","088","999",11,10,9.09100037e+01,2619,9.98899994e+01,2369,9.03499985e+01,250,9.52999973e+00,1,3.99999991e-02,2,7.99999982e-02,3047,2622,8.60500031e+01,,8.70800018e+01,,,"9997",0,0.00000000e+00
"02","089","999",623,615,9.87200012e+01,176629,9.92399979e+01,160811,9.03499985e+01,15818,8.89000034e+00,1079,6.10000014e-01,272,1.50000006e-01,219244,177980,8.11800003e+01,,8.21999969e+01,,,"9997",0,0.00000000e+00
"02","090","999",74,73,9.86500015e+01,18529,9.87300034e+01,16653,8.87300034e+01,1876,1.00000000e+01,160,8.50000024e-01,79,4.19999987e-01,25712,18768,7.29899979e+01,,7.40000000e+01,,,"9997",0,0.00000000e+00
"02","091","999",46,45,9.78300018e+01,11503,9.95400009e+01,10774,9.32300034e+01,729,6.30999994e+00,49,4.19999987e-01,4,3.99999991e-02,14477,11556,7.98199997e+01,,8.08199997e+01,,,"9997",0,0.00000000e+00
"02","092","999",1332,1266,9.50500031e+01,348257,9.95100021e+01,322279,9.20899963e+01,25978,7.42000008e+00,1472,4.19999987e-01,231,7.00000003e-02,468412,349960,7.47099991e+01,,7.85999985e+01,,,"9997",0,0.00000000e+00
"02","093","999",81,78,9.63000031e+01,21995,9.98000031e+01,19747,8.95999985e+01,2248,1.01999998e+01,36,1.59999996e-01,7,3.99999991e-02,27085,22038,8.13700027e+01,,8.46399994e+01,,,"9997",0,0.00000000e+00
"02","094","999",45,40,8.88899994e+01,10695,9.97900009e+01,9641,8.99499969e+01,1054,9.82999992e+00,19,1.80000007e-01,4,3.99999991e-02,13315,10718,8.05000000e+01,,8.73199997e+01,,,"9997",0,0.00000000e+00
"02","095","999",44,43,9.77300034e+01,11135,9.98899994e+01,10014,8.98399963e+01,1121,1.00600004e+01,9,7.99999982e-02,3,1.99999996e-02,13584,11147,8.20599976e+01,,8.42399979e+01,,,"9997",0,0.00000000e+00
"02","096","999",63,62,9.84100037e+01,16602,9.94400024e+01,14963,8.96299973e+01,1639,9.81999969e+00,87,5.19999981e-01,6,2.99999993e-02,20116,16695,8.29899979e+01,,8.44599991e+01,,,"9997",0,0.00000000e+00
