parCodigo,parSiglas,parDenominacion,parColor
"0103","FRENTE DE IZQUIERDA Y LOS TRABAJADORES            ","FRENTE DE IZQUIERDA Y LOS TRABAJADORES                                                              ","538ed5"
"0131","ALIANZA FRENTE PARA LA VICTORIA                   ","ALIANZA FRENTE PARA LA VICTORIA                                                                     ","538ed5"
"0132","ALIANZA PROGRESISTAS                              ","ALIANZA PROGRESISTAS                                                                                ","c70b38"
"0133","ALIANZA COMPROMISO FEDERAL                        ","ALIANZA COMPROMISO FEDERAL                                                                          ","75d4d9"
"0134","MST - NUEVA IZQUIERDA                             ","MST - NUEVA IZQUIERDA                                                                               ","e9897f"
"0135","ALIANZA CAMBIEMOS                                 ","ALIANZA CAMBIEMOS                                                                                   ","ffff00"
"0136","ALIANZA FRENTE POPULAR                            ","ALIANZA FRENTE POPULAR                                                                              ","003366"
"0137","ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES ","ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ","ff0000"
"0138","ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)    ","ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ","33364f"
"0144","MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES     ","MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                       ","95B3D7"
"0145","CAMBIEMOS BUENOS AIRES                            ","CAMBIEMOS BUENOS AIRES                                                                              ","990000"
"0146","CAMBIEMOS SALTA                                   ","CAMBIEMOS SALTA                                                                                     ","15E306"
"0151","MOVIMIENTO POPULAR NEUQUINO                       ","MOVIMIENTO POPULAR NEUQUINO                                                                         ","6666FF"
"0152","MOVIMIENTO POLO SOCIAL LA TERCERA POSICION DE LA G","MOVIMIENTO POLO SOCIAL LA TERCERA POSICION DE LA GENTE                                              ","33CC33"
"0153","CRUZADA RENOVADORA                                ","CRUZADA RENOVADORA                                                                                  ","414141"
"0154","MOVIMIENTO POPULAR FUEGUINO                       ","MOVIMIENTO POPULAR FUEGUINO                                                                         ","4BACC6"
"0155","MOVIMIENTO UNION DEL PARTIDO DE PINAMAR           ","MOVIMIENTO UNION DEL PARTIDO DE PINAMAR                                                             ","ff0000"
"0157","DE ACCION CHUBUTENSE                              ","DE ACCION CHUBUTENSE                                                                                ","75923C"
"0161","OBRERO                                            ","OBRERO                                                                                              ","9933FF"
"0165","NUEVO OCTUBRE                                     ","NUEVO OCTUBRE                                                                                       ","993366"
"0169","PROYECTO POPULAR                                  ","PROYECTO POPULAR                                                                                    ","07ad0b"
"0177","PARTIDO MOVIMIENTO DE PARTICIPACION CIUDADANA     ","PARTIDO MOVIMIENTO DE PARTICIPACION CIUDADANA                                                       ","CC0066"
"0179","FRENTE CAMBIA JUJUY                               ","FRENTE CAMBIA JUJUY                                                                                 ","F2DDDC"
"0180","DEL CAMPO POPULAR                                 ","DEL CAMPO POPULAR                                                                                   ","FDE9D9"
"0184","PUEBLO NUEVO                                      ","PUEBLO NUEVO                                                                                        ","1515CC"
"0186","AUTODETERMINACION Y LIBERTAD                      ","AUTODETERMINACION Y LIBERTAD                                                                        ","D7E4BC"
"0187","SOCIAL PATAGONICO                                 ","SOCIAL PATAGONICO                                                                                   ","D7E4BC"
"0188","UNITE POR LA LIBERTAD Y LA DIGNIDAD               ","UNITE POR LA LIBERTAD Y LA DIGNIDAD                                                                 ","00B050"
"0189","PARTIDO CIUDADANOS A GOBERNAR                     ","PARTIDO CIUDADANOS A GOBERNAR                                                                       ","F2DDDC"
"0190","MOV.POL. SOCIAL Y CULTURAL PROYECTO SUR           ","MOV.POL. SOCIAL Y CULTURAL PROYECTO SUR                                                             ","E46D0A"
"0192","LIBERTAD Y DEMOCRACIA RESPONSABLE                 ","LIBERTAD Y DEMOCRACIA RESPONSABLE                                                                   ","336565"
"0194","MOVIMIENTO VECINAL DEL PARTIDO DE TRES ARROYOS    ","MOVIMIENTO VECINAL DEL PARTIDO DE TRES ARROYOS                                                      ","663300"
"0198","DE LOS TRABAJADORES SOCIALISTAS                   ","DE LOS TRABAJADORES SOCIALISTAS                                                                     ","663300"
"0202","FRENTE RENOVADOR AUTENTICO                        ","FRENTE RENOVADOR AUTENTICO                                                                          ","CCFFCC"
"0203","INSTRUMENTO ELECTORAL                             ","INSTRUMENTO ELECTORAL                                                                               ","CCFF66"
"0208","POR UN PUEBLO UNIDO                               ","POR UN PUEBLO UNIDO                                                                                 ","33CCCC"
"0212","PRINCIPIOS Y CONVICCION                           ","PRINCIPIOS Y CONVICCION                                                                             ","CCECFF"
"0251","MOVIMIENTO COMUNITARIO PLURICULTURAL              ","MOVIMIENTO COMUNITARIO PLURICULTURAL                                                                ","FEBC94"
"0268","MOV. AMPLIO DE TRAB. Y JUBILADOS-MATRAJU          ","MOV. AMPLIO DE TRAB. Y JUBILADOS-MATRAJU                                                            ","4D4D4D"
"0298","TODOS POR BUENOS AIRES                            ","TODOS POR BUENOS AIRES                                                                              ","538ED5"
"0301","PATRIA GRANDE                                     ","PATRIA GRANDE                                                                                       ","FF99CC"
"0302","BANDERA VECINAL                                   ","BANDERA VECINAL                                                                                     ","FFFF00"
"0333","FUERZA ORG. RENOV. DEMOCRATICA                    ","FUERZA ORG. RENOV. DEMOCRATICA                                                                      ","FF9933"
"0402","PARTIDO PRIMERO JUJUY                             ","PARTIDO PRIMERO JUJUY                                                                               ","151533"
"0406","PARTIDO POR LA DIGNIDAD DEL PUEBLO                ","PARTIDO POR LA DIGNIDAD DEL PUEBLO                                                                  ","004815"
"0427","JUNTOS POR SAN JUAN                               ","JUNTOS POR SAN JUAN                                                                                 ","820000"
"0446","AGR.MUNICIPAL DE LA INTRANSIGENCIA COLONENSE      ","AGR.MUNICIPAL DE LA INTRANSIGENCIA COLONENSE                                                        ","f6ccac"
"0484","NUEVA ALTERNATIVA CARMEÑA                         ","NUEVA ALTERNATIVA CARMEÑA                                                                           ","33364f"
"0501","ALIANZA FRENTE PARA LA VICTORIA                   ","ALIANZA FRENTE PARA LA VICTORIA                                                                     ","538ed5"
"0502","ALIANZA CAMBIEMOS                                 ","ALIANZA CAMBIEMOS                                                                                   ","ffff00"
"0503","ALIANZA COMPROMISO FEDERAL                        ","ALIANZA COMPROMISO FEDERAL                                                                          ","CCCC00"
"0504","ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES ","ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ","CCC0DA"
"0506","ALIANZA PROGRESISTAS                              ","ALIANZA PROGRESISTAS                                                                                ","f30d44"
"0507","ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA          ","ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA                                                            ","33364f"
"0508","FRENTE UNIDOS Y ORGANIZADOS POR LA SOBERANIA POPUL","FRENTE UNIDOS Y ORGANIZADOS POR LA SOBERANIA POPULAR                                                ","F20DD8"
"0509","ALIANZA UNION PARA VIVIR MEJOR                    ","ALIANZA UNION PARA VIVIR MEJOR                                                                      ","a30501"
"0510","ALIANZA UNION POR CORDOBA                         ","ALIANZA UNION POR CORDOBA                                                                           ","C00000"
"0514","ALIANZA CAMBIEMOS MENDOZA                         ","ALIANZA CAMBIEMOS MENDOZA                                                                           ","ffff00"
"0517","ALIANZA CAMBIEMOS TIERRA DEL FUEGO                ","ALIANZA CAMBIEMOS TIERRA DEL FUEGO                                                                  ","ffff00"
"0518","ALIANZA COMPROMISO CON SAN JUAN                   ","ALIANZA COMPROMISO CON SAN JUAN                                                                     ","820000"
"0519","ALIANZA ENCUENTRO POR CORRIENTES                  ","ALIANZA ENCUENTRO POR CORRIENTES                                                                    ","66CCFF"
"0520","ALIANZA FRENTE AMPLIO FORMOSEÑO                   ","ALIANZA FRENTE AMPLIO FORMOSEÑO                                                                     ","008000"
"0521","ALIANZA FRENTE AMPLIO PODEMOS                     ","ALIANZA FRENTE AMPLIO PODEMOS                                                                       ","CC0000"
"0522","ALIANZA FRENTE CAMBIEMOS                          ","ALIANZA FRENTE CAMBIEMOS                                                                            ","00B0F0"
"0523","ALIANZA CAMBIEMOS RIO NEGRO                       ","ALIANZA CAMBIEMOS RIO NEGRO                                                                         ","ffff00"
"0524","ALIANZA FRENTE CIVICO Y SOCIAL                    ","ALIANZA FRENTE CIVICO Y SOCIAL                                                                      ","FF5050"
"0525","ALIANZA FRENTE PROGRESISTA CIVICO Y SOCIAL        ","ALIANZA FRENTE PROGRESISTA CIVICO Y SOCIAL                                                          ","FF9933"
"0526","ALIANZA FRENTE PROGRESISTA POPULAR                ","ALIANZA FRENTE PROGRESISTA POPULAR                                                                  ","07ad0b"
"0527","ALIANZA FRENTE RENOVADOR FEDERAL DE LA ESPERANZA  ","ALIANZA FRENTE RENOVADOR FEDERAL DE LA ESPERANZA                                                    ","CC3300"
"0528","ALIANZA FRENTE TERCERA POSICION                   ","ALIANZA FRENTE TERCERA POSICION                                                                     ","DDD9C3"
"0529","ALIANZA FRENTE UNIDOS                             ","ALIANZA FRENTE UNIDOS                                                                               ","CCC0DA"
"0530","ALIANZA CAMBIEMOS CHUBUT                          ","ALIANZA CAMBIEMOS CHUBUT                                                                            ","ffff00"
"0531","ALIANZA FRENTE UNION CHUBUT SOMOS TODOS           ","ALIANZA FRENTE UNION CHUBUT SOMOS TODOS                                                             ","07ad0b"
"0532","ALIANZA FRENTE CIVICO Y SOCIAL                    ","ALIANZA FRENTE CIVICO Y SOCIAL                                                                      ","dedede"
"0533","FRENTE CIVICO PARA LA VICTORIA                    ","FRENTE CIVICO PARA LA VICTORIA                                                                      ","E1D50E"
"0534","PROPUESTA FREPAM                                  ","PROPUESTA FREPAM                                                                                    ","33E115"
"0600","UNION VECINALISTA DIGNIDAD PARA TODOS             ","UNION VECINALISTA DIGNIDAD PARA TODOS                                                               ","538ed5"
"0612","NUEVO ZARATE                                      ","NUEVO ZARATE                                                                                        ","f30d44"
"0616","MOVIMIENTO GENERACIONAL                           ","MOVIMIENTO GENERACIONAL                                                                             ","1CE020"
"0625","MOVIMIENTO SOCIAL PARA UNA MEJOR VIDA             ","MOVIMIENTO SOCIAL PARA UNA MEJOR VIDA                                                               ","1CC23E"
"0641","MOVIPRO                                           ","MOVIPRO                                                                                             ","75d4d9"
"0647","PROCLAME                                          ","PROCLAME                                                                                            ","e9897f"
"0656","ACCION CIUDADANA                                  ","ACCION CIUDADANA                                                                                    ","ffff00"
"0664","COMPROMISO PRINGLES                               ","COMPROMISO PRINGLES                                                                                 ","003366"
"0665","PARTIDO UNION VECINAL PROV.                       ","PARTIDO UNION VECINAL PROV.                                                                         ","ff0000"
"0667","INTEGRACION VECINALISTA ROSALEÑA                  ","INTEGRACION VECINALISTA ROSALEÑA                                                                    ","33364f"
