vot_proCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_forCodigo,ordenPartidos,votVotosFormula,votPorcenVotosFormula
"02","039","999","0137",4,577,2.44000006e+00
"02","039","999","0138",3,6306,2.66499996e+01
"02","039","999","0145",1,9618,4.06399994e+01
"02","040","999","0131",2,1743,3.04599991e+01
"02","040","999","0132",5,23,4.00000006e-01
"02","040","999","0137",4,41,7.20000029e-01
"02","040","999","0138",3,605,1.05699997e+01
"02","040","999","0145",1,3310,5.78499985e+01
"02","041","999","0131",2,4013,3.50900002e+01
"02","041","999","0132",5,84,7.30000019e-01
"02","041","999","0137",4,91,8.00000012e-01
"02","041","999","0138",3,925,8.09000015e+00
"02","041","999","0145",1,6324,5.52900009e+01
"02","042","999","0131",2,4289,3.58400002e+01
"02","042","999","0132",5,92,7.69999981e-01
"02","042","999","0137",4,163,1.36000001e+00
"02","042","999","0138",3,1504,1.25699997e+01
"02","042","999","0145",1,5918,4.94599991e+01
"02","043","999","0131",2,515,2.67800007e+01
"02","043","999","0132",5,18,9.39999998e-01
"02","043","999","0137",4,23,1.20000005e+00
"02","043","999","0138",3,261,1.35699997e+01
"02","043","999","0145",1,1106,5.75099983e+01
"02","044","999","0131",2,2748,3.92700005e+01
"02","044","999","0132",5,49,6.99999988e-01
"02","044","999","0137",4,71,1.00999999e+00
"02","044","999","0138",3,524,7.48999977e+00
"02","044","999","0145",1,3606,5.15299988e+01
"02","045","999","0131",2,3177,3.57900009e+01
"02","045","999","0132",5,71,8.00000012e-01
"02","045","999","0137",4,139,1.57000005e+00
"02","045","999","0138",3,2287,2.57600002e+01
"02","045","999","0145",1,3203,3.60800018e+01
"02","046","999","0131",3,462,1.71299992e+01
"02","046","999","0132",5,23,8.50000024e-01
"02","046","999","0137",4,27,1.00000000e+00
"02","046","999","0138",2,876,3.24799995e+01
"02","046","999","0145",1,1309,4.85400009e+01
"02","047","999","0131",2,4027,3.30400009e+01
"02","047","999","0132",5,96,7.90000021e-01
"02","047","999","0137",4,248,2.02999997e+00
"02","047","999","0138",3,2319,1.90300007e+01
"02","047","999","0145",1,5497,4.51100006e+01
"02","048","999","0131",2,3104,3.88100014e+01
"02","048","999","0132",4,89,1.11000001e+00
"02","048","999","0137",5,88,1.10000002e+00
"02","048","999","0138",3,1075,1.34399996e+01
"02","048","999","0145",1,3641,4.55299988e+01
"02","049","999","0131",2,2753,3.89000015e+01
"02","049","999","0132",5,141,1.99000001e+00
"02","049","999","0137",4,177,2.50000000e+00
"02","049","999","0138",3,1100,1.55400000e+01
"02","049","999","0145",1,2906,4.10600014e+01
"02","050","999","0131",2,110301,2.97000008e+01
"02","050","999","0132",5,9046,2.44000006e+00
"02","050","999","0137",4,12109,3.25999999e+00
"02","050","999","0138",3,51025,1.37399998e+01
"02","050","999","0145",1,188957,5.08699989e+01
"02","051","999","0131",2,17187,3.62700005e+01
"02","051","999","0132",5,895,1.88999999e+00
"02","051","999","0137",4,1210,2.54999995e+00
"02","051","999","0138",3,10343,2.18299999e+01
"02","051","999","0145",1,17745,3.74500008e+01
"02","052","999","0131",2,77197,3.23899994e+01
"02","052","999","0132",5,5855,2.46000004e+00
"02","052","999","0137",4,10015,4.19999981e+00
"02","052","999","0138",3,49785,2.08899994e+01
"02","052","999","0145",1,95478,4.00600014e+01
"02","053","999","0131",2,57035,3.49000015e+01
"02","053","999","0132",5,3451,2.10999990e+00
"02","053","999","0137",4,6519,3.99000001e+00
"02","053","999","0138",3,37575,2.29899998e+01
"02","053","999","0145",1,58829,3.60000000e+01
"02","054","999","0131",2,3677,3.43499985e+01
"02","054","999","0132",5,88,8.19999993e-01
"02","054","999","0137",4,111,1.03999996e+00
"02","054","999","0138",3,1699,1.58699999e+01
"02","054","999","0145",1,5128,4.79099998e+01
"02","055","999","0131",3,2981,1.67199993e+01
"02","055","999","0132",5,183,1.02999997e+00
"02","055","999","0137",4,214,1.20000005e+00
"02","055","999","0138",2,6341,3.55699997e+01
"02","055","999","0145",1,8106,4.54799995e+01
"02","056","999","0131",1,3331,4.48499985e+01
"02","056","999","0132",4,114,1.52999997e+00
"02","056","999","0137",5,110,1.48000002e+00
"02","056","999","0138",3,973,1.31000004e+01
"02","056","999","0145",2,2899,3.90299988e+01
